question_text,choice_1,choice_2,choice_3,choice_4,correct_choice,explanation
Who takes part in the Olympic Games Many famous ( ) from around the world,passengers,travelers,animals,athletes,4,People who do sports are athletes
Our trip plan looks ( ) I am really looking forward to it,poor,cold,perfect,slow,3,Perfect means very good
When you get off the train please ( ) the signs to the exit,spend,reach,meet,follow,4,You follow signs to go somewhere
Shuhei will remember his trip to Hawaii ( ),slowly,ever,forever,soon,3,Forever means for all time
Mr Suzuki ( ) some flowers in his garden They are very beautiful,grows,impresses,performs,fights,1,You grow flowers
Emily was very kind so I will ( ) forget her,always,never,sometimes,soon,2,Never forget is a common phrase
Ken ( ) his bike to school every day,rides,drives,flies,swims,1,You ride a bike
This town is famous ( ) its beautiful river,to,for,in,at,2,Be famous for something
I have not seen Karen for a while I saw her the ( ) day,high,other,large,each,2,The other day means recently
What is the ( ) You look sad,matter,choice,purpose,difference,1,What is the matter asks about a problem
You are just in ( ) for the movie It starts in two minutes,month,hour,time,schedule,3,In time means not late
( ) you like some more tea,would,should,will,be,1,Would you like is a polite offer
You should ( ) Mount Fuji if you have time,climb,climbing,climbed,climbs,1,Use the base form after should
It is difficult for her ( ) at night because of the noise,sleeps,to sleep,slept,sleep,2,To sleep after difficult for her
The students ( ) talking when the teacher came in,start,started,starting,starts,2,Past tense started
Please ( ) the window It is very cold,close,lose,choose,clothes,1,Close the window
My father ( ) to work by train every morning,go,goes,going,went,2,He goes to work
Yuki ( ) her homework before dinner,usually,hardly,never,late,1,Usually means most of the time
We had to wait ( ) an hour for the bus,for,since,from,by,1,Wait for a period of time
The cake smells very ( ),well,good,fast,loud,2,Food smells good
Tom is ( ) than his brother,tall,taller,tallest,more tall,2,Comparative taller
This is the ( ) book in the library,interesting,more interesting,most interesting,interest,3,Superlative most interesting
Meg has ( ) friends in her new school,a little,few,a lot,some,3,A lot of friends
I have lived in this city ( ) three years,for,since,from,by,1,For plus period of time
He has been busy ( ) Monday,for,since,from,to,2,Since plus starting point
The girl ( ) the red dress is my sister,with,of,in,at,3,In the red dress
We enjoyed ( ) tennis after school,play,played,playing,plays,3,Enjoy is followed by ing form
It is important ( ) breakfast every day,ate,eating,to eat,eats,3,Important to eat
There are ( ) apples in the basket,any,much,seven,little,3,Seven apples
How ( ) milk is in the bottle,many,old,far,much,4,Much for uncountable nouns
How ( ) students are in your class,many,much,high,fast,1,Many students
Nancy is looking ( ) her lost keys,for,at,to,on,1,Look for means search
The baby is sleeping ( ) the bed,in,on,under,between,2,Sleeping on the bed
We will have a picnic if it ( ) tomorrow,rain,rains,rained,is raining,2,If it rains
You must not ( ) in this library,talk,talking,talked,talks,1,Do not talk
Lets ( ) a picture together,take,takes,taking,took,1,Take a picture
I was ( ) to hear the good news,sad,surprised,boring,angry,2,Surprised to hear
This homework is too ( ) for me to finish today,easy,short,long,early,3,Too long to finish
Please give me ( ) water,I,a,any,some,4,Some water
My brother is interested ( ) history,of,in,for,at,2,Interested in
Next Sunday we are going to ( ) a barbecue,do,make,have,play,3,Have a barbecue
The park is full ( ) people on weekends,at,for,of,to,3,Full of people
May I ( ) your pen for a moment,use,used,using,uses,1,Use your pen
